Class,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,-6.734546,-11.886376,-5.845563,-7.594649,-5.884488,6.639118,18.86263,14.650007,6.689343,1.021451,-0.490322,-1.627918,-2.074921,-5.722512
0,-10.624473,-19.138868,-7.351058,-11.189504,-8.214928,5.242863,21.527067,24.884609,15.328045,3.207495,1.457153,-1.432041,-5.073354,-8.623006
0,-8.862831,-13.172137,-10.722412,-10.010472,-6.082876,2.800672,18.662986,23.272386,14.899877,6.635352,0.505389,-2.185416,-6.105478,-9.63504
0,-5.782782,-8.069276,-11.661619,-8.973326,-6.334002,4.230829,13.748469,18.349079,10.953447,7.481643,0.343414,-0.559381,-5.088421,-8.638074
0,-4.497022,-9.979082,-6.252386,-8.237529,-8.079321,7.814384,9.751813,14.156547,8.006494,2.285866,2.155281,2.948836,-4.23334,-5.840541
0,-3.872976,-10.220162,1.231141,-4.711734,-5.175059,8.209906,5.156225,8.340491,6.34028,-3.906878,1.691955,3.954592,-4.297377,-2.741658
0,-1.876532,-3.28911,4.592449,0.738935,1.524957,5.255419,-1.787383,0.982527,4.803394,-4.798372,-2.366226,1.362981,-4.271009,-0.870776
0,0.840641,3.914412,4.778282,4.163025,5.352103,3.46992,-8.862831,-5.295599,2.891077,-2.842108,-4.854875,-1.144502,-2.919956,0.510412
0,2.181649,5.256675,5.964848,5.029407,5.683588,3.3092,-13.699499,-11.224662,0.183949,-3.344358,-2.542013,-1.361726,1.096789,3.468665
0,2.192949,4.998016,7.368637,6.116778,7.466575,0.096055,-17.316955,-17.755169,-3.717279,-4.18186,0.580727,-1.013917,7.523079,7.642363
0,3.256464,8.375648,5.707445,7.678776,9.569748,-7.182804,-19.529367,-20.139601,-7.877165,-0.379827,0.319557,-1.548814,12.108622,9.641318
0,6.067809,12.084765,1.758503,6.816162,5.448786,-12.728901,-15.851641,-13.901655,-9.943924,5.790316,-1.104322,-2.219318,10.426084,7.357336
0,7.379937,10.270387,-1.651775,2.670087,-3.552792,-11.956691,-4.658997,-3.646964,-8.332957,7.965059,0.38736,-2.464165,4.697922,2.891077
0,4.011095,3.516378,-4.380249,-1.910434,-7.559492,-7.167737,7.00325,2.705245,-4.156747,5.470131,3.852886,-2.180393,1.218584,-0.423774
0,-1.852675,-3.144713,-6.562525,-4.284821,-3.584182,-2.888566,11.217128,5.36717,-0.338391,2.604795,5.052008,-0.342158,0.819295,-2.062364
0,-4.690388,-6.734546,-5.733813,-4.491999,-0.232918,-0.374804,9.437907,9.5145,1.295177,1.069165,2.597261,3.059331,-1.315267,-3.39835
0,-2.966415,-7.351058,-1.236163,-3.641941,-3.115834,1.086744,8.605428,13.80246,1.463431,-0.794183,-0.718845,5.340802,-6.052741,-4.421684
0,-0.63723,-5.897044,2.760492,-2.31349,-6.441985,1.771059,10.051908,11.932834,1.724601,-3.415928,-1.781104,4.710478,-8.48991,-3.97217
0,-0.506645,-3.263998,3.091977,-0.81804,-4.168048,2.501833,9.03234,4.210739,2.239408,-5.294344,-0.759025,2.862198,-6.76217,-2.366226
0,-0.581982,-0.182693,2.142724,0.63723,0.462698,4.561059,3.580415,-2.029718,2.179138,-5.386004,-0.689966,1.19975,-4.666531,-1.227374
